lint	rust_path	line	message	classification	eden_symbol_occurrences	eden_counterparts	note
unused_imports	src/common/src/heap_tracker.rs	10	unused imports: `NONE` and `self`	RUST_HYGIENE	NONE:0,self:0	common/heap_tracker.cpp;common/heap_tracker.h	No behavioral Eden counterpart; mechanical Rust cleanup.
unused_imports	src/common/src/heap_tracker.rs	193	unused import: `RBColor`	RUST_HYGIENE	RBColor:0	common/heap_tracker.cpp;common/heap_tracker.h	No behavioral Eden counterpart; mechanical Rust cleanup.
unused_imports	src/common/src/dynamic_library.rs	10	unused import: `CStr`	RUST_HYGIENE	CStr:0	common/dynamic_library.cpp;common/dynamic_library.h	No behavioral Eden counterpart; mechanical Rust cleanup.
unused_imports	src/common/src/time_zone.rs	6	unused import: `std::time::SystemTime`	RUST_HYGIENE	std::time::SystemTime:0	common/time_zone.cpp;common/time_zone.h	No behavioral Eden counterpart; mechanical Rust cleanup.
unused_variables	src/common/src/intrusive_red_black_tree.rs	385	unused variable: `nodes`	PORT_DEBT_OR_RENAMED	nodes:0	common/intrusive_red_black_tree.h	Counterpart exists, but direct normalized symbol matching did not prove a live Eden use; manual ownership review retained.
unused_variables	src/common/src/intrusive_red_black_tree.rs	396	unused variable: `nodes`	PORT_DEBT_OR_RENAMED	nodes:0	common/intrusive_red_black_tree.h	Counterpart exists, but direct normalized symbol matching did not prove a live Eden use; manual ownership review retained.
unused_mut	src/common/src/tree.rs	368	variable does not need to be mutable	RUST_HYGIENE		common/intrusive_red_black_tree.h;common/tree.h	No behavioral Eden counterpart; mechanical Rust cleanup.
dead_code	src/common/src/intrusive_red_black_tree.rs	309	field `head` is never read	PORT_DEBT_OR_RENAMED	head:0	common/intrusive_red_black_tree.h	Counterpart exists, but direct normalized symbol matching did not prove a live Eden use; manual ownership review retained.
dead_code	src/common/src/heap_tracker.rs	31	associated function `new` is never used	CONFIRMED_DEAD_DUPLICATE	new:4	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	58	struct `AddrView` is never constructed	CONFIRMED_DEAD_DUPLICATE	AddrView:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	60	struct `TickView` is never constructed	CONFIRMED_DEAD_DUPLICATE	TickView:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	67	function `addr_cmp` is never used	CONFIRMED_DEAD_DUPLICATE	addr_cmp:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	79	function `tick_cmp` is never used	CONFIRMED_DEAD_DUPLICATE	tick_cmp:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	142	struct `HeapTrackerInner` is never constructed	CONFIRMED_DEAD_DUPLICATE	HeapTrackerInner:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	159	associated items `new`, `alloc_map`, and `free_map` are never used	CONFIRMED_DEAD_DUPLICATE	new:4,alloc_map:0,free_map:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	196	function `left` is never used	CONFIRMED_DEAD_DUPLICATE	left:10	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	200	function `right` is never used	CONFIRMED_DEAD_DUPLICATE	right:6	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	204	function `parent` is never used	CONFIRMED_DEAD_DUPLICATE	parent:0	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	210	function `find` is never used	CONFIRMED_DEAD_DUPLICATE	find:2	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	226	function `nfind` is never used	CONFIRMED_DEAD_DUPLICATE	nfind:1	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	244	function `next` is never used	CONFIRMED_DEAD_DUPLICATE	next:11	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/heap_tracker.rs	266	function `min` is never used	CONFIRMED_DEAD_DUPLICATE	min:2	common/heap_tracker.cpp;common/heap_tracker.h	Abandoned intrusive-tree implementation duplicated by the active BTreeMap implementation below.
dead_code	src/common/src/logging/backend.rs	23	method `enable_for_stacktrace` is never used	CONFIRMED_DEAD_OBSOLETE	enable_for_stacktrace:0	common/logging.cpp;common/logging.h	The current Eden backend has no stacktrace-enable hook; Ruzu's old trait member has no caller.
dead_code	src/common/src/logging/backend.rs	30	struct `ColorConsoleBackend` is never constructed	CONFIRMED_DEAD_OBSOLETE	ColorConsoleBackend:7	common/logging.cpp;common/logging.h	Ruzu retained an abandoned first backend implementation; the active logger uses COLOR_FLAG and print_colored_message directly.
